!Time	F_axial	eps_axial
0	0	0.00E+00
0.01	527.788	3.33E-05
0.02	1055.58	6.67E-05
0.03	1583.36	1.00E-04
0.04	2111.15	1.33E-04
0.05	2638.94	1.67E-04
0.06	3166.73	2.00E-04
0.07	3694.51	2.33E-04
0.08	4222.3	2.67E-04
0.09	4750.09	3.00E-04
0.1	5277.88	3.33E-04
0.11	5805.66	3.67E-04
0.12	6333.45	4.00E-04
0.13	6861.24	4.33E-04
0.14	7389.03	4.67E-04
0.15	7916.81	5.00E-04
0.16	8444.6	5.33E-04
0.17	8972.39	5.67E-04
0.18	9500.18	6.00E-04
0.19	10028	6.33E-04
0.2	10555.8	6.67E-04
0.21	11083.5	7.00E-04
0.22	11611.3	7.33E-04
0.23	12139.1	7.67E-04
0.24	12666.9	8.00E-04
0.25	13194.7	8.33E-04
0.26	13722.5	8.67E-04
0.27	14250.3	9.00E-04
0.28	14778.1	9.33E-04
0.29	15305.8	9.67E-04
0.3	15833.6	1.00E-03
0.31	16361.4	1.03E-03
0.32	16889.2	1.07E-03
0.33	17417	1.10E-03
0.34	17944.8	1.13E-03
0.35	18472.6	1.17E-03
0.36	19000.4	1.20E-03
0.37	19528.1	1.23E-03
0.38	20055.9	1.27E-03
0.39	20583.7	1.30E-03
0.4	21111.5	1.33E-03
0.41	21639.3	1.37E-03
0.42	22167.1	1.40E-03
0.43	22694.9	1.43E-03
0.44	23222.7	1.47E-03
0.45	23750.4	1.50E-03
0.46	24278.2	1.53E-03
0.47	24806	1.57E-03
0.48	25333.8	1.60E-03
0.49	25861.6	1.63E-03
0.5	26389.4	1.67E-03
0.51	26917.2	1.70E-03
0.52	27445	1.73E-03
0.53	27972.7	1.77E-03
0.54	28500.5	1.80E-03
0.55	29028.3	1.83E-03
0.56	29556.1	1.87E-03
0.57	30083.9	1.90E-03
0.58	30611.7	1.93E-03
0.59	31139.5	1.97E-03
0.6	31667.3	2.00E-03
0.61	32195	2.03E-03
0.62	32722.8	2.07E-03
0.63	33250.6	2.10E-03
0.64	33778.4	2.13E-03
0.65	34306.2	2.17E-03
0.66	34834	2.20E-03
0.67	35361.8	2.23E-03
0.68	35889.6	2.27E-03
0.69	36417.3	2.30E-03
0.7	36945.1	2.33E-03
0.71	37472.9	2.37E-03
0.72	37999.8	2.42E-03
0.73	38528.5	2.50E-03
0.74	39055.8	2.58E-03
0.75	39583.1	2.68E-03
0.76	40109.5	2.81E-03
0.77	40639.6	2.98E-03
0.78	41166.9	3.27E-03
0.79	41695.2	4.11E-03
0.8	42223	6.10E-03
0.81	42750.6	8.50E-03
0.82	43278.6	1.10E-02
0.83	43806.4	1.35E-02
0.84	44334.2	1.61E-02
0.85	44861.9	1.86E-02
0.86	45389.7	2.13E-02
0.87	45917.5	2.40E-02
0.88	46445.3	2.67E-02
0.89	46973.1	2.94E-02
0.9	47500.9	3.22E-02
0.91	48028.7	3.51E-02
0.92	48556.5	3.80E-02
0.93	49084.2	4.09E-02
0.94	49612	4.39E-02
0.95	50139.8	4.69E-02
0.96	50667.6	5.00E-02
0.97	51195.4	5.32E-02
0.98	51723.2	5.64E-02
0.99	52251	5.96E-02
1	52778.8	6.29E-02
