! Step(1)  Incr(2)  Iter(3)        Time(4)        Temp(5)       eps_z(6)         phi(7)      eps_ci(8)      eps_co(9)        F_z(10)     Torque(11)        p_i(12)        p_o(13)      User defined output variables ...(14)
  
        0        0        0   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1        1        2   0.10000E-001   0.00000E+000   0.20000E-003   0.00000E+000  -0.60000E-004  -0.60000E-004   0.16336E+004   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1        2        1   0.20000E-001   0.00000E+000   0.40000E-003   0.00000E+000  -0.12000E-003  -0.12000E-003   0.32673E+004   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1        3        1   0.30000E-001   0.00000E+000   0.60000E-003   0.00000E+000  -0.18000E-003  -0.18000E-003   0.49009E+004   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1        4        1   0.40000E-001   0.00000E+000   0.80000E-003   0.00000E+000  -0.24000E-003  -0.24000E-003   0.65345E+004   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1        5        1   0.50000E-001   0.00000E+000   0.10000E-002   0.00000E+000  -0.30000E-003  -0.30000E-003   0.81681E+004   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1        6        1   0.60000E-001   0.00000E+000   0.12000E-002   0.00000E+000  -0.36000E-003  -0.36000E-003   0.98018E+004   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1        7        1   0.70000E-001   0.00000E+000   0.14000E-002   0.00000E+000  -0.42000E-003  -0.42000E-003   0.11435E+005   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1        8        3   0.80000E-001   0.00000E+000   0.16000E-002   0.00000E+000  -0.49667E-003  -0.49667E-003   0.12388E+005   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1        9        3   0.90000E-001   0.00000E+000   0.18000E-002   0.00000E+000  -0.59003E-003  -0.59003E-003   0.12659E+005   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1       10        3   0.10000E+000   0.00000E+000   0.20000E-002   0.00000E+000  -0.68341E-003  -0.68341E-003   0.12930E+005   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
        1       11        2   0.11000E+000   0.00000E+000   0.22000E-002   0.00000E+000  -0.77681E-003  -0.77681E-003   0.13199E+005   0.00000E+000   0.00000E+000   0.00000E+000   0.0000000000E+000
  
